Donate ID,Donate Date,Gender,Deposit Amount,Preferred Color of Device,Ice Cream Products Consumed Per Week,Favorite Flavor Of Ice Cream,Donated To Kick Starter Before,Household Income,Do you own a Keurig,How many desserts do you eat a week
1,7/1/2019,female,100,white,4,vanilla,yes,<50K,yes,7
2,7/1/2019,female,100,blue,5,vanilla,yes,<50K,yes,5
3,7/1/2019,female,100,silver,6,vanilla,yes,<50K,yes,1
4,7/1/2019,female,100,silver,5,vanilla,yes,<50K,yes,4
5,7/1/2019,male,100,white,1,vanilla,yes,<50K,yes,7
6,7/1/2019,male,100,white,0,vanilla,yes,<50K,yes,9
7,7/1/2019,female,100,blue,2,vanilla,yes,<50K,yes,5
8,7/1/2019,female,100,black,5,vanilla,yes,<50K,yes,9
9,7/1/2019,male,100,blue,2,vanilla,yes,<50K,yes,7
10,7/1/2019,male,100,no preference,1,vanilla,yes,<50K,yes,5
11,7/1/2019,male,100,blue,10,vanilla,yes,<100K,yes,10
12,7/1/2019,female,100,no preference,8,vanilla,yes,<100K,yes,2
13,7/1/2019,male,100,silver,9,vanilla,yes,<50K,yes,2
14,7/1/2019,male,100,black,4,vanilla,yes,<50K,yes,6
15,7/1/2019,male,100,no preference,5,vanilla,yes,<50K,yes,6
16,7/1/2019,male,100,white,0,vanilla,yes,>100K,yes,3
17,7/1/2019,male,100,black,5,vanilla,yes,<50K,yes,5
18,7/1/2019,female,100,no preference,7,vanilla,yes,<50K,yes,4
19,7/1/2019,male,100,no preference,8,vanilla,yes,<50K,yes,1
20,7/1/2019,male,100,red,0,vanilla,yes,<50K,yes,5
21,7/1/2019,male,100,red,7,vanilla,yes,<50K,yes,10
22,7/1/2019,male,100,black,4,vanilla,yes,<50K,yes,2
23,7/1/2019,female,100,blue,8,vanilla,yes,<50K,yes,9
24,7/1/2019,female,100,blue,7,vanilla,yes,<50K,yes,6
25,7/1/2019,male,100,white,6,swirl,yes,<50K,yes,3
26,7/1/2019,male,100,no preference,6,vanilla,yes,<50K,yes,2
27,7/1/2019,male,100,no preference,10,vanilla,yes,<50K,yes,5
28,7/1/2019,female,100,no preference,2,no preference,yes,<50K,yes,2
29,7/1/2019,male,100,white,5,vanilla,yes,<50K,yes,5
30,7/1/2019,male,100,black,7,no preference,yes,<50K,yes,1
31,7/1/2019,male,100,red,6,chocolate,yes,<50K,yes,7
32,7/1/2019,male,100,silver,1,no preference,yes,<50K,yes,3
33,7/1/2019,female,100,black,5,swirl,yes,<50K,yes,7
34,7/1/2019,male,100,blue,2,vanilla,yes,<50K,yes,2
35,7/1/2019,female,100,black,1,no preference,yes,<100K,yes,4
36,7/1/2019,female,100,white,5,chocolate,yes,<100K,yes,5
37,7/1/2019,female,100,black,8,no preference,yes,<50K,yes,2
38,7/1/2019,male,100,red,6,vanilla,yes,<50K,yes,3
39,7/1/2019,male,100,no preference,8,swirl,yes,,yes,5
40,7/1/2019,female,100,red,5,specialty,yes,,yes,1
41,7/1/2019,male,100,blue,10,vanilla,yes,,yes,3
42,7/1/2019,male,100,black,1,specialty,yes,,yes,6
43,7/1/2019,male,100,no preference,3,specialty,yes,,yes,1
44,7/1/2019,male,100,blue,9,vanilla,yes,,yes,3
45,7/1/2019,male,100,no preference,5,specialty,yes,,yes,10
46,7/1/2019,female,100,red,1,chocolate,yes,,yes,9
47,7/1/2019,male,100,silver,1,chocolate,yes,,yes,9
48,7/1/2019,male,100,blue,0,vanilla,yes,,yes,6
49,7/1/2019,male,100,silver,8,specialty,yes,,yes,6
50,7/1/2019,male,100,no preference,8,chocolate,yes,,yes,5
51,7/1/2019,male,100,silver,9,specialty,yes,,yes,5
52,7/1/2019,female,100,red,0,no preference,yes,,yes,7
53,7/1/2019,female,100,red,5,chocolate,yes,,yes,5
54,7/1/2019,male,100,blue,5,no preference,yes,,yes,9
55,7/1/2019,male,100,white,7,swirl,yes,,yes,5
56,7/1/2019,male,100,white,3,no preference,yes,,yes,7
57,7/1/2019,male,100,no preference,5,no preference,yes,,yes,5
58,7/1/2019,male,100,red,2,vanilla,yes,,yes,9
59,7/1/2019,female,100,red,5,vanilla,yes,,yes,9
60,7/1/2019,male,100,white,4,vanilla,yes,,yes,9
61,7/1/2019,female,100,red,1,vanilla,yes,,yes,10
62,7/1/2019,male,100,red,0,chocolate,yes,,yes,9
63,7/1/2019,female,100,no preference,5,no preference,yes,,yes,4
64,7/1/2019,male,100,white,5,swirl,yes,,yes,3
65,7/1/2019,male,100,black,0,swirl,yes,,yes,1
66,7/1/2019,male,100,silver,4,specialty,yes,,yes,7
67,7/1/2019,female,100,white,6,no preference,yes,,yes,10
68,7/1/2019,male,100,red,,vanilla,yes,,yes,5
69,7/1/2019,female,100,white,,chocolate,yes,,yes,6
70,7/1/2019,male,100,white,,chocolate,yes,,yes,10
71,7/1/2019,male,100,white,,chocolate,yes,<100K,yes,10
72,7/1/2019,male,100,red,,chocolate,yes,<100K,yes,5
73,7/1/2019,female,100,white,,chocolate,yes,<100K,yes,5
74,7/1/2019,male,100,blue,9,chocolate,yes,<100K,yes,9
75,7/1/2019,male,100,white,0,chocolate,yes,<100K,yes,6
76,7/1/2019,female,100,white,3,chocolate,yes,<100K,yes,9
77,7/1/2019,female,100,silver,10,chocolate,yes,<100K,yes,9
78,7/1/2019,female,100,silver,3,chocolate,yes,<100K,yes,7
79,7/1/2019,male,100,silver,2,chocolate,yes,<100K,yes,10
80,7/1/2019,male,100,white,1,chocolate,yes,<100K,yes,8
81,7/1/2019,male,100,red,0,chocolate,yes,<100K,yes,5
82,7/1/2019,male,100,silver,4,chocolate,yes,<100K,yes,10
83,7/1/2019,male,100,no preference,2,chocolate,yes,<100K,yes,8
84,7/1/2019,male,100,silver,0,chocolate,yes,<100K,yes,8
85,7/1/2019,female,100,no preference,2,chocolate,yes,<100K,yes,9
86,7/1/2019,female,100,silver,8,chocolate,yes,,yes,10
87,7/1/2019,female,100,no preference,6,chocolate,yes,,yes,6
88,7/1/2019,female,100,red,10,vanilla,yes,,yes,4
89,7/1/2019,male,100,silver,10,swirl,yes,,yes,10
90,7/1/2019,male,100,no preference,2,chocolate,yes,,yes,6
91,7/1/2019,male,100,blue,5,no preference,yes,,yes,3
92,7/1/2019,male,100,blue,1,chocolate,yes,,yes,6
93,7/1/2019,male,100,blue,3,vanilla,yes,,yes,7
94,7/1/2019,male,100,no preference,10,vanilla,yes,,yes,3
95,7/1/2019,male,100,blue,10,no preference,yes,,yes,3
96,7/1/2019,female,100,white,3,vanilla,yes,<100K,yes,6
97,7/1/2019,female,100,blue,6,vanilla,yes,<100K,yes,6
98,7/1/2019,female,100,white,8,vanilla,yes,<100K,yes,8
99,7/1/2019,male,100,black,7,vanilla,yes,,yes,9
100,7/1/2019,female,100,no preference,1,swirl,yes,<100K,yes,5
101,7/1/2019,female,100,red,5,specialty,yes,<100K,yes,4
102,7/1/2019,female,100,blue,9,specialty,yes,<100K,yes,10
103,7/1/2019,female,100,silver,8,specialty,yes,<100K,yes,4
104,7/1/2019,female,100,red,3,swirl,yes,<100K,yes,9
105,7/1/2019,male,100,silver,3,specialty,yes,,yes,6
106,7/1/2019,male,100,blue,5,vanilla,yes,,yes,1
107,7/1/2019,female,100,blue,0,vanilla,yes,<100K,yes,7
108,7/1/2019,female,100,no preference,5,vanilla,yes,<100K,yes,10
109,7/1/2019,male,100,no preference,7,vanilla,yes,,yes,8
110,7/1/2019,female,100,no preference,2,vanilla,yes,<100K,yes,6
111,7/1/2019,female,100,silver,0,vanilla,yes,<100K,yes,2
112,7/1/2019,female,100,silver,6,vanilla,yes,<100K,yes,3
113,7/1/2019,male,100,red,6,vanilla,yes,,no,3
114,7/1/2019,male,100,black,9,vanilla,yes,,no,5
115,7/1/2019,female,100,red,6,vanilla,yes,<100K,yes,10
116,7/1/2019,male,100,white,9,vanilla,yes,,yes,9
117,7/1/2019,female,100,blue,2,vanilla,yes,<100K,yes,5
118,7/1/2019,male,100,red,8,vanilla,yes,,yes,7
119,7/1/2019,male,100,red,5,vanilla,yes,,yes,3
120,7/1/2019,female,100,silver,0,vanilla,yes,<100K,yes,10
121,7/1/2019,male,100,red,2,vanilla,yes,,yes,7
122,7/1/2019,female,100,no preference,4,vanilla,yes,<100K,yes,3
123,7/1/2019,male,100,red,1,vanilla,yes,,yes,5
124,7/1/2019,female,100,white,3,vanilla,yes,<100K,yes,7
125,7/1/2019,female,100,silver,1,vanilla,yes,<100K,yes,10
126,7/1/2019,female,100,black,9,vanilla,yes,<100K,yes,1
127,7/1/2019,female,100,red,0,vanilla,yes,<100K,yes,5
128,7/1/2019,female,100,no preference,10,vanilla,yes,<100K,yes,3
129,7/1/2019,female,100,silver,9,vanilla,yes,<100K,yes,6
130,7/1/2019,female,100,white,3,vanilla,yes,<100K,yes,10
131,7/1/2019,male,100,white,10,vanilla,yes,,yes,7
132,7/1/2019,male,100,no preference,8,no preference,yes,,yes,8
133,7/1/2019,female,100,silver,1,swirl,yes,<100K,yes,9
134,7/1/2019,male,100,white,7,swirl,yes,,yes,1
135,7/1/2019,female,100,white,6,swirl,yes,<100K,yes,9
136,7/1/2019,male,100,silver,1,swirl,yes,,yes,2
137,7/1/2019,female,100,black,0,swirl,yes,<100K,yes,2
138,7/1/2019,female,100,no preference,10,swirl,yes,<100K,yes,8
139,7/1/2019,male,100,blue,8,swirl,yes,,yes,2
140,7/1/2019,female,100,red,1,swirl,yes,<100K,yes,5
141,7/1/2019,male,100,blue,3,swirl,yes,,yes,2
142,7/1/2019,male,100,silver,4,swirl,yes,,yes,10
143,7/1/2019,male,100,silver,7,swirl,yes,,yes,6
144,7/1/2019,female,100,black,0,swirl,yes,<100K,yes,3
145,7/1/2019,female,100,black,7,swirl,yes,<100K,yes,9
146,7/1/2019,female,100,no preference,2,swirl,yes,<100K,yes,4
147,7/1/2019,female,100,silver,2,swirl,yes,<100K,yes,9
148,7/1/2019,male,100,red,8,swirl,yes,,yes,6
149,7/1/2019,male,100,no preference,5,swirl,yes,,yes,7
150,7/1/2019,male,100,white,9,swirl,yes,,yes,4
151,7/1/2019,female,100,blue,7,swirl,yes,<100K,yes,6
152,7/1/2019,male,100,white,9,swirl,yes,,yes,5
153,7/1/2019,female,100,black,5,swirl,yes,<100K,yes,9
154,7/1/2019,female,100,black,1,swirl,yes,<100K,yes,8
155,7/1/2019,male,100,red,7,swirl,yes,,yes,6
156,7/1/2019,male,100,black,0,swirl,yes,,yes,7
157,7/1/2019,female,100,blue,8,swirl,yes,<100K,yes,2
158,7/1/2019,female,100,no preference,5,swirl,yes,<100K,yes,4
159,7/1/2019,female,100,blue,8,swirl,yes,<100K,yes,8
160,7/1/2019,female,100,silver,4,swirl,yes,<100K,yes,10
161,7/1/2019,male,100,black,5,swirl,yes,,yes,9
162,7/1/2019,male,100,silver,5,swirl,yes,,yes,2
163,7/1/2019,female,100,red,3,swirl,yes,<100K,yes,4
164,7/1/2019,male,100,no preference,3,swirl,yes,,yes,10
165,7/1/2019,female,100,blue,6,swirl,yes,<100K,yes,6
166,7/1/2019,female,100,blue,10,swirl,yes,<100K,yes,3
167,7/1/2019,female,100,blue,4,swirl,yes,<100K,yes,3
168,7/1/2019,female,100,white,8,swirl,yes,<100K,yes,2
169,7/1/2019,female,100,red,10,swirl,yes,<100K,yes,5
170,7/1/2019,male,100,silver,5,swirl,yes,,yes,4
171,7/1/2019,male,100,no preference,9,swirl,yes,,yes,5
172,7/1/2019,male,100,no preference,6,swirl,yes,,yes,1
173,7/1/2019,female,100,silver,1,swirl,yes,<100K,yes,9
174,7/1/2019,male,100,red,3,swirl,yes,,yes,1
175,7/1/2019,female,100,red,4,swirl,yes,<100K,yes,6
176,7/1/2019,female,100,red,6,swirl,yes,<100K,yes,4
177,7/1/2019,male,100,no preference,3,swirl,yes,,yes,9
178,7/1/2019,female,100,black,0,swirl,yes,<100K,yes,4
179,7/1/2019,male,100,white,9,swirl,yes,,yes,3
180,7/1/2019,female,100,white,1,swirl,yes,<100K,yes,6
181,7/1/2019,female,100,silver,8,swirl,yes,<100K,yes,9
182,7/1/2019,male,100,red,5,swirl,yes,,yes,10
183,7/1/2019,female,100,silver,5,swirl,yes,<100K,yes,7
184,7/1/2019,female,100,blue,8,swirl,yes,<100K,yes,8
185,7/1/2019,female,100,black,1,swirl,yes,<100K,yes,1
186,7/1/2019,male,100,silver,6,swirl,yes,,yes,5
187,7/1/2019,female,100,silver,6,swirl,yes,<100K,yes,5
188,7/1/2019,male,100,silver,1,swirl,yes,,yes,2
189,7/1/2019,female,100,white,8,swirl,yes,<100K,yes,6
190,7/1/2019,male,100,red,0,swirl,yes,,yes,9
191,7/1/2019,female,100,white,9,swirl,yes,<100K,yes,5
192,7/1/2019,female,100,silver,6,swirl,yes,<100K,yes,7
193,7/1/2019,male,100,white,2,swirl,yes,,yes,10
194,7/1/2019,female,100,white,4,swirl,yes,<100K,yes,4
195,7/1/2019,female,100,no preference,2,swirl,yes,<100K,yes,2
196,7/1/2019,male,100,black,3,swirl,yes,,yes,6
197,7/1/2019,male,100,no preference,7,swirl,yes,,yes,7
198,7/1/2019,male,100,red,10,swirl,yes,,yes,5
199,7/1/2019,female,100,white,7,swirl,yes,<100K,yes,4
200,7/1/2019,female,100,silver,0,swirl,yes,<100K,yes,1
201,7/1/2019,male,100,blue,8,swirl,yes,,yes,5
202,7/1/2019,male,100,no preference,6,swirl,yes,,yes,9
203,7/1/2019,male,100,black,7,swirl,yes,,yes,6
204,7/1/2019,female,100,white,5,swirl,yes,<100K,yes,8
